Game_ID	Week	Home	Away	Home_Pts	Away_Pts
138	4	TEN	IND	17	41
139	4	TEN	IND	17	41
140	4	TEN	IND	17	41
141	5	ARI	DEN	20	41
142	5	ARI	DEN	20	41
143	5	ATL	NYG	20	30
144	5	ATL	NYG	20	30
145	5	BAL	IND	13	20
146	5	BAL	ATL	13	20
147	5	BAL	IND	13	20
148	5	BUF	DET	17	14
149	5	BUF	DET	17	14
150	5	CHI	CAR	24	31
151	5	CHI	CAR	24	31
152	5	CIN	NE	17	43
153	5	CIN	NE	17	43
154	5	CLE	TEN	29	28
155	5	CLE	TEN	29	28
156	5	CLE	TEN	29	28
157	5	HOU	DAL	17	20
158	5	HOU	DAL	17	20
159	5	KC	SF	17	22
160	5	KC	SF	17	22
161	5	MIN	GB	10	42
162	5	NYJ	SD	0	31
163	5	NYJ	SD	0	31
164	5	NYJ	SD	0	31
165	5	PIT	JAC	17	9
166	5	PIT	JAC	17	9
167	5	SEA	WAS	27	17
168	5	SEA	WAS	27	17
169	5	STL	PHI	28	34
170	5	STL	PHI	28	34
171	5	TB	NO	31	37
172	5	TB	NO	31	37
173	6	ATL	HOU	33	28
174	6	BAL	TB	48	17
175	6	BAL	TB	48	17
176	6	CAR	CIN	37	37
177	6	CAR	CIN	37	37
178	6	CHI	ATL	27	13
179	6	CHI	ATL	27	13
180	6	DAL	SEA	30	23
181	6	DAL	SEA	30	23
182	6	DEN	NYJ	31	17
183	6	DEN	NYJ	31	17
184	6	DET	MIN	17	3
185	6	DET	MIN	17	3
186	6	GB	MIA	27	24
187	6	GB	MIA	27	24
188	6	IND	HOU	33	28
189	6	IND	HOU	33	28
190	6	JAC	TEN	14	16
191	6	JAC	TEN	14	16
192	6	NE	BUF	37	22
193	6	NE	BUF	37	22
194	6	NYG	PHI	0	27
195	6	NYG	PHI	0	27
196	6	PIT	CLE	10	31
197	6	PIT	CLE	10	31
198	6	SD	OAK	31	28
199	6	SD	OAK	31	28
200	6	SF	STL	31	17
201	6	SF	STL	31	17
202	6	WAS	ARI	20	30
203	6	WAS	ARI	20	30
